Cumulative Rewards, Average Rewards, No Timesteps
-799.9794932012297, -12.698087193670313, 63
-717.748916155379, -13.049980293734164, 55
-1285.861243053306, -12.731299436171346, 101
-913.9392445300648, -9.722757920532604, 94
-748.9532514377975, -13.869504656255508, 54
-754.2447995949198, -12.783810162625759, 59
-1514.4048041720728, -13.643286524072728, 111
-722.5084000999185, -12.901935716069973, 56
-1441.6620891155553, -12.64615867645224, 114
-1149.6022243227455, -12.101076045502584, 95
-1502.8229545451825, -13.78736655546039, 109
-724.4144769950381, -13.668197679151662, 53
-918.806786534703, -10.323671758816888, 89
-806.9014641423867, -13.227892854793224, 61
-1046.7097967151667, -11.502305458408426, 91
-1509.5320070943594, -13.848917496278526, 109
-1986.6810568861324, -15.050614067319184, 132
-739.6955047039442, -12.977114117613056, 57
-987.9423337013314, -11.100475659565522, 89
-1252.4791519373216, -13.183991073024439, 95
-1521.813736776504, -13.961593915380769, 109
-1375.8310161835047, -13.622089269143611, 101
-937.1549749493186, -11.02535264646257, 85
-1664.6902361068862, -14.228121676127232, 117
-1337.2536870573942, -12.983045505411594, 103
-1301.2305634989395, -13.414748077308655, 97
-1317.9849733977867, -13.587473952554502, 97
-1137.0020935768935, -12.920478336101063, 88
-1315.9976633476108, -12.29904358268795, 107
-769.5868532127325, -13.043844969707331, 59
-1318.831461387014, -11.881364517000128, 111
-874.8076024701797, -11.664101366269064, 75
-1906.0039258926217, -14.890655671036107, 128
-793.0471496691268, -13.000772945395521, 61
-1171.1918552090915, -12.074142837207129, 97
-1714.8171017851682, -13.718536814281347, 125
-1309.9273812398978, -13.231589709493917, 99
-900.5898159268746, -12.170132647660468, 74
-2111.8692731786336, -14.872318825201646, 142
-1263.688796153685, -12.764533294481666, 99
-821.6278558794977, -12.640428551992272, 65
-1026.8211771075657, -12.522209476921534, 82
-893.7745285707297, -11.916993714276396, 75
-867.1281297742707, -10.08288522993338, 86
-1057.7021811538937, -12.743399772938478, 83
-1099.9820156025644, -12.790488553518191, 86
-757.3246455330852, -13.286397290054127, 57
-1296.7747600858395, -13.098734950362015, 99
-1576.50982031019, -14.075980538483838, 112
-1464.3458909973938, -13.074516883905302, 112
-1208.1216658037001, -11.290856689754207, 107
-869.3666804256375, -12.244601132755458, 71
-787.537267445956, -12.702213991063806, 62
-1115.0769392381362, -12.816976313082025, 87
-824.1312895572469, -12.300467008317117, 67
-1083.1117374756643, -12.742491029125462, 85
-1472.1389274740084, -13.758307733401947, 107
-864.8633920950208, -12.18117453654959, 71
-859.7792566053274, -11.94137856396288, 72
-1644.951277007613, -14.059412623996693, 117
-1667.8504574193844, -13.55975981641776, 123
-1784.9151659949546, -14.165993380912338, 126
-1368.3020562285544, -13.547545111173806, 101
-1558.214683637673, -14.03797012286192, 111
-1180.0964629385112, -12.968092999324298, 91
-728.7864486401426, -13.014043725716832, 56
-994.7994744992867, -12.131700908527886, 82
-770.1975387042291, -13.279267908693607, 58
-1404.1311584193259, -13.372677699231675, 105
-955.1122415937741, -12.090028374604735, 79
-848.9680244521016, -9.871721214559322, 86
-783.7199455183015, -13.061999091971693, 60
-1184.3524922823945, -13.307331373959489, 89
-1482.7953114907825, -13.479957377188931, 110
-1090.6472460340908, -12.53617524177116, 87
-1497.837654673142, -13.868867172899463, 108
-1161.1919354423608, -12.90213261602623, 90
-933.0759547836709, -12.117869542645076, 77
-1822.491206958951, -14.579929655671608, 125
-1055.0534295359726, -12.711487102843043, 83
-1965.3163492163485, -15.354033978252723, 128
-1579.574490239966, -13.855916581052334, 114
-780.7315638297098, -13.012192730495164, 60
-1017.7241511686757, -11.435102822119951, 89
-856.4891058282193, -10.70611382285274, 80
-1539.902665944714, -13.872996990492918, 111
-1066.827983843334, -11.853644264925935, 90
-873.9467926326556, -12.138149897675772, 72
-1229.9524911094093, -12.42376253645868, 99
-776.5598317592678, -12.525158576762385, 62
-724.9298058321889, -13.180541924221616, 55
-1167.684782839595, -12.831700910325221, 91
-975.1897978420976, -12.18987247302622, 80
-781.6834047081989, -13.24887126624066, 59
-1405.004067071226, -13.509654491069481, 104
-845.0191995428834, -11.901678866801173, 71
-1174.5598109077978, -10.487141168819623, 112
-974.4011742290648, -12.02964412628475, 81
-755.679788968605, -12.59466314947675, 60
-751.702358548209, -12.740717941495067, 59
-752.0775502993288, -12.329140168841455, 61
-1286.4328580914578, -13.685455937143168, 94
-772.2551350960318, -13.089070086373422, 59
-920.348782643815, -12.271317101917532, 75
-817.675521399335, -12.024640020578456, 68
-1247.6194824659183, -13.132836657535982, 95
-742.7910818198519, -12.806742789997447, 58
-1618.137550912895, -13.949461645800818, 116
-1785.5399619517655, -14.05936977914776, 127
-717.8297585100013, -13.051450154727297, 55
-1317.74139654529, -13.58496285098237, 97
-820.904159668366, -13.03022475664073, 63
-802.3057209739499, -11.974712253342535, 67
-731.006641114783, -14.057820021438134, 52
-727.7471046600218, -12.547363873448653, 58
-1254.1568028313789, -12.66825053365029, 99
-1953.7978628456497, -15.14571986702054, 129
-1224.7393228810029, -13.312383944358727, 92
-906.4353912860678, -10.071504347622975, 90
-1776.91241403443, -12.970163606090729, 137
-1213.092680842483, -12.76939664044719, 95
-1729.9426619073872, -13.951150499253123, 124
-1256.2671022423071, -12.19676798293502, 103
-770.5376371799047, -13.059959952201774, 59
-796.2688152400591, -12.843045407097728, 62
-745.2285800311186, -13.549610546020338, 55
-1875.54056604285, -14.42723512340654, 130
-1048.9638937602704, -12.792242606832566, 82
-927.0431800830984, -12.197936580040768, 76
-740.6026126439536, -13.465502048071885, 55
-833.7781661826715, -12.44445024153241, 67
-934.6554328590547, -10.270938822626976, 91
-770.4681416502424, -13.058782061868515, 59
-1442.4972693314407, -13.738069231728007, 105
-1352.0812357262685, -13.79674730332927, 98
-1236.568581391068, -12.748129705062556, 97
-841.9581816203123, -12.566540024183766, 67
-1282.9103208385445, -12.102927555080608, 106
-957.506382814314, -12.120333959674861, 79
-1669.9006024128494, -13.687709855843028, 122
-856.3153474150178, -12.410367353840837, 69
-1669.1391882865055, -13.909493235720879, 120
-1467.04691834995, -12.868832617104824, 114
-800.4642280671934, -12.128245879805961, 66
-736.0098931013323, -13.381998056387859, 55
-1354.130738818608, -13.54130738818608, 100
-2449.530789059714, -16.330205260398095, 150
-1559.1615489845483, -12.180949601441784, 128
-835.7158023617203, -12.111823222633628, 69
-898.0249147689465, -11.8161172995914, 76
-753.0706734286612, -12.146301184333245, 62
-1290.5354534771225, -13.168729117113495, 98
-735.1829896910651, -12.05218015886992, 61
-720.7765820738227, -13.34771448284857, 54
-846.2814794708586, -12.822446658649373, 66
-1247.1414657924965, -13.410123288091361, 93
-1901.2265203013133, -14.970287561427664, 127
-762.5774345933014, -11.731960532204637, 65
-767.3707132931946, -12.789511888219911, 60
-837.3394345860677, -11.017624139290364, 76
-963.0901480654927, -11.198722651924333, 86
-1327.7962463650638, -13.688621096547049, 97
-1348.6436401639182, -13.221996472195277, 102
-1004.1891031590892, -12.098663893483002, 83
-920.312294443434, -10.340587578016113, 89
-1132.1887190104326, -13.013663436901524, 87
-1082.322269163711, -12.44048585245645, 87
-1594.973728354497, -12.460732252769509, 128
-940.161321765824, -12.053350279049026, 78
-1980.0165332394981, -15.230896409534601, 130
-939.6064990637705, -11.32056022968398, 83
-1472.816778994463, -13.764642794340775, 107
-768.9210322082338, -13.730732718004175, 56
-740.9880932938142, -13.23193023738954, 56
-771.4192480747793, -13.775343715621059, 56
-709.8459092479834, -12.675819807999703, 56
-1794.665396877361, -14.955544973978009, 120
-768.2119628301498, -12.193840679843648, 63
-723.8663045076936, -12.926184009065958, 56
-1529.8428767375742, -13.90766251579613, 110
-784.5263443821088, -12.25822413097045, 64
-796.0705797334448, -13.267842995557412, 60
-935.8142056768235, -11.997618021497736, 78
-1504.765224356769, -13.805185544557514, 109
-1458.813591350039, -13.762392371226783, 106
-1789.359522996077, -10.910728798756567, 164
-1125.9260974493554, -11.372990883326823, 99
-1162.8256482839984, -11.628256482839983, 100
-1962.256673361805, -15.21129204156438, 129
-1548.5933125669312, -13.704365597937445, 113
-1247.6536478220044, -13.415630621741983, 93
-1573.285282771678, -13.68074158931894, 115
-1234.3274657121792, -13.416602888175861, 92
-909.1404277758647, -11.962374049682431, 76
-1243.278413748745, -13.226366103710053, 94
-1313.0078743557501, -11.93643522141591, 110
-1210.9308696081268, -13.30693263305634, 91
-831.6710513868627, -12.99486017791973, 64
-1698.3089830024958, -14.640594681055997, 116
-1272.103092892047, -12.35051546497133, 103
-1029.4694098895734, -12.709498887525598, 81
-2150.254250293013, -15.142635565443753, 142
-849.127608145971, -10.10866200173775, 84
-805.4248582848373, -11.672824033113585, 69
-886.4319171268961, -11.978809690904, 74
-1573.2836820803384, -13.110697350669486, 120
-1833.700414966883, -14.787906572313572, 124
-803.5588289825989, -9.799497914421938, 82
-1186.3386198376438, -13.32964741390611, 89
-874.2539902675522, -11.814243111723679, 74
-789.020273144797, -13.373224968555881, 59
-891.4476765617711, -11.885969020823614, 75
-1211.8053849423043, -13.464504277136713, 90
-1048.0330694778554, -12.47658416045066, 84
-1138.5839205147618, -12.650932450164019, 90
-763.558569337416, -12.315460795764773, 62
-1122.8852091664044, -12.906726542142579, 87
-1605.6680783764525, -13.962331116316978, 115
-930.6808903500247, -12.40907853800033, 75
-735.3788810199028, -13.131765732498264, 56
